epoch	train_ppl	valid_ppl
1	1.55	190.85
2	1.52	157.83
3	1.52	144.28
4	1.51	136.26
5	1.51	130.34
6	1.5	126.42
7	1.5	123.34
8	1.5	121.29
9	1.5	118.78
10	1.5	117.2
11	1.49	116.05
12	1.49	114.57
13	1.49	114.29
14	1.49	112.79
15	1.49	112.61
16	1.49	111.78
17	1.49	111.91
18	1.48	106.91
19	1.48	105.58
20	1.48	104.7
21	1.48	104.05
22	1.47	103.3
23	1.47	102.75
24	1.47	102.13
25	1.47	101.7
26	1.47	101.2
27	1.47	100.83
28	1.47	100.39
29	1.47	99.92
30	1.47	99.47
test_ppl	97.92
